package,authors,description,url,msc,verified
The Modification of a Function by a Function and the Iteration of the Composition of a Function,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-3/funct_4.pdf,,False
Finite Sequences and Tuples of Elements of a Non-empty Sets,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-3/finseq_2.pdf,Exclude-Util,True
Curried and Uncurried Functions,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/funct_5.pdf,18A99,True
Cardinal Arithmetics,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/card_2.pdf,03E10,True
Fano-Desargues Parallelity Spaces,"Kusak, Eugeniusz and Leończuk, Wojciech",,http://fm.mizar.org/1990-1/pdf1-3/parsp_2.pdf,51A15,True
Real Functions Spaces,"Oryszczyszyn , Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-3/funcsdom.pdf,13J30,True
Tarski's Classes and Ranks,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/classes1.pdf,03E20,True
Non-contiguous Substrings and One-to-one Finite Sequences,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-3/finseq_3.pdf,Exclude-Util,True
Pigeon Hole Principle,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-3/finseq_4.pdf,Exclude-Util,True
Linear Combinations in Real Linear Space,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-3/rlvect_2.pdf,15A04,True
König's Theorem,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/card_3.pdf,03E10,True
Universal Classes,"Nowak, Bogdan and Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-3/classes2.pdf,03E20,True
Analytical Ordered Affine Spaces,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-3/analoaf.pdf,51N10,True
Metric Spaces,"Kanas, Stanisława and Lecko, Adam and Startek, Mariusz",,http://fm.mizar.org/1990-1/pdf1-3/metric_1.pdf,54E35,True
Ordered Affine Spaces Defined in Terms of Directed Parallelity – Part I,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-3/diraf.pdf,51N10,True
Parallelity and Lines in Affine Spaces,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-3/aff_1.pdf,14R10,True
Classical Configurations in Affine Planes,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-4/aff_2.pdf,14R10,True
Affine Localizations of Desargues Axiom,"Kusak, Eugeniusz and Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-4/aff_3.pdf,14R10,True
Binary Operations Applied to Finite Sequences,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-4/finseqop.pdf,40B99,True
Semigroup operations on finite subsets,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-4/setwop_2.pdf,03E20,True
The Collinearity Structure,"Skaba, Wojciech",,http://fm.mizar.org/1990-1/pdf1-4/collsp.pdf,51A05,True
The Sum and Product of Finite Sequences of Real Numbers,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-4/rvsum_1.pdf,Exclude-Util,True
A Classical First Order Language,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-4/cqc_lang.pdf,03B10,True
Classical and Non–classical Pasch Configurations in Ordered Affine Planes,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof and Prażmowska, Małgorzata",,http://fm.mizar.org/1990-1/pdf1-4/pasch.pdf,51M05,True
The Lattice of Real Numbers. The Lattice of Real Functions,"Chmur, Marek",,http://fm.mizar.org/1990-1/pdf1-4/real_lat.pdf,03G10,True
A Construction of an Abstract Space of Congruence of Vectors,"Lewandowski, Grzegorz and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-4/tdgroup.pdf,20Kxx,True
A First–Order Predicate Calculus,"Darmochwał, Agata",,http://fm.mizar.org/1990-1/pdf1-4/cqc_the1.pdf,03B10,True
Partial Functions from a Domain to a Domain,"Kotowicz, Jarosław",,http://fm.mizar.org/1990-1/pdf1-4/partfun2.pdf,03E20,True
Partial Functions from a Domain to the Set of Real Numbers,"Kotowicz, Jarosław",,http://fm.mizar.org/1990-1/pdf1-4/rfunct_1.pdf,03E20,True
Increasing and Continuous Ordinal Sequences,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-4/ordinal4.pdf,03E10,True
Transformations in Affine Spaces,"Oryszczyszyn, Henryk and Prażmowski, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-4/transgeo.pdf,51N10,True
Subcategories and Products of Categories,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-4/cat_2.pdf,18A05,True
